,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
0,0,bus,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
1,1,bus,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
2,2,bus,conv_crossing_right_car,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
3,3,car,conv_crossing_far_car,leftright_topbottom,2021-11-11,33,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
4,4,car,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,11,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
5,5,car,conv_crossing_far_person,leftright_topbottom,2021-11-11,31,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
6,6,car,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,39,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
7,7,car,conv_crossing_left_car,leftright_topbottom,2021-11-11,104,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
8,8,car,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,51,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
9,9,car,conv_crossing_left_person,leftright_topbottom,2021-11-11,8,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
10,10,car,conv_crossing_parking,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
11,11,car,conv_crossing_parking,rightleft_bottomtop,2021-11-11,26,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
12,12,car,conv_crossing_right_car,leftright_topbottom,2021-11-11,17,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
13,13,car,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,12,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
14,14,car,conv_crossing_right_person,leftright_topbottom,2021-11-11,8,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
15,15,car,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,2,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
16,16,person,conv_crossing_far_car,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
17,17,person,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
18,18,person,conv_crossing_far_person,leftright_topbottom,2021-11-11,32,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
19,19,person,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,14,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
20,20,person,conv_crossing_left_car,leftright_topbottom,2021-11-11,85,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
21,21,person,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,51,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
22,22,person,conv_crossing_left_person,leftright_topbottom,2021-11-11,5,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
23,23,person,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,24,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
24,24,person,conv_crossing_parking,leftright_topbottom,2021-11-11,24,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
25,25,person,conv_crossing_parking,rightleft_bottomtop,2021-11-11,6,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
26,26,person,conv_crossing_right_car,leftright_topbottom,2021-11-11,2,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
27,27,person,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
28,28,person,conv_crossing_right_person,leftright_topbottom,2021-11-11,7,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
29,29,person,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,12,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
30,30,truck,conv_crossing_far_car,leftright_topbottom,2021-11-11,3,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
31,31,truck,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
32,32,truck,conv_crossing_far_person,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
33,33,truck,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,9,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
34,34,truck,conv_crossing_left_car,leftright_topbottom,2021-11-11,11,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
35,35,truck,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,12,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
36,36,truck,conv_crossing_left_person,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
37,37,truck,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
38,38,truck,conv_crossing_parking,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
39,39,truck,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
40,40,truck,conv_crossing_right_person,leftright_topbottom,2021-11-11,1,2021-11-11 09:00:00,木曜,9,False,2021-11-11,False,0
41,41,bicycle,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
42,42,bicycle,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
43,43,bus,conv_crossing_far_car,leftright_topbottom,2021-11-11,2,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
44,44,bus,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
45,45,bus,conv_crossing_far_person,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
46,46,bus,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
47,47,bus,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
48,48,bus,conv_crossing_right_car,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
49,49,bus,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
50,50,bus,conv_crossing_right_person,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
51,51,car,conv_crossing_far_car,leftright_topbottom,2021-11-11,131,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
52,52,car,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,81,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
53,53,car,conv_crossing_far_person,leftright_topbottom,2021-11-11,36,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
54,54,car,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,41,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
55,55,car,conv_crossing_left_car,leftright_topbottom,2021-11-11,121,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
56,56,car,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,60,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
57,57,car,conv_crossing_left_person,leftright_topbottom,2021-11-11,8,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
58,58,car,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,5,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
59,59,car,conv_crossing_parking,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
60,60,car,conv_crossing_parking,rightleft_bottomtop,2021-11-11,35,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
61,61,car,conv_crossing_right_car,leftright_topbottom,2021-11-11,57,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
62,62,car,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,68,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
63,63,car,conv_crossing_right_person,leftright_topbottom,2021-11-11,25,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
64,64,car,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,12,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
65,65,motorbike,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
66,66,motorbike,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,2,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
67,67,person,conv_crossing_far_car,leftright_topbottom,2021-11-11,12,2021-11-11 10:00:00,木曜,10,False,2021-11-11,False,0
