day,name,area,countingDirection,timestamp,week,is_holiday,is_edge_holiday
2021-06-28,bicycle,plaza_car_far,leftright_topbottom,9,0,False,0
2021-06-29,bicycle,plaza_car_far,leftright_topbottom,41,1,False,0
2021-06-30,bicycle,plaza_car_far,leftright_topbottom,9,2,False,0
2021-07-01,bicycle,plaza_car_far,leftright_topbottom,7,3,False,0
2021-07-02,bicycle,plaza_car_far,leftright_topbottom,131,4,False,1
2021-07-03,bicycle,plaza_car_far,leftright_topbottom,11,5,True,0
2021-07-04,bicycle,plaza_car_far,leftright_topbottom,5,6,True,0
2021-07-05,bicycle,plaza_car_far,leftright_topbottom,7,0,False,1
2021-07-06,bicycle,plaza_car_far,leftright_topbottom,4,1,False,0
2021-07-07,bicycle,plaza_car_far,leftright_topbottom,17,2,False,0
2021-07-08,bicycle,plaza_car_far,leftright_topbottom,155,3,False,0
2021-07-09,bicycle,plaza_car_far,leftright_topbottom,98,4,False,1
2021-07-10,bicycle,plaza_car_far,leftright_topbottom,58,5,True,0
2021-07-11,bicycle,plaza_car_far,leftright_topbottom,4,6,True,0
2021-07-12,bicycle,plaza_car_far,leftright_topbottom,226,0,False,1
2021-07-13,bicycle,plaza_car_far,leftright_topbottom,7,1,False,0
2021-07-14,bicycle,plaza_car_far,leftright_topbottom,11,2,False,0
2021-07-15,bicycle,plaza_car_far,leftright_topbottom,6,3,False,0
2021-07-16,bicycle,plaza_car_far,leftright_topbottom,57,4,False,1
2021-07-17,bicycle,plaza_car_far,leftright_topbottom,5,5,True,0
2021-07-18,bicycle,plaza_car_far,leftright_topbottom,7,6,True,0
2021-07-19,bicycle,plaza_car_far,leftright_topbottom,10,0,False,1
2021-07-20,bicycle,plaza_car_far,leftright_topbottom,10,1,False,0
2021-07-21,bicycle,plaza_car_far,leftright_topbottom,3,2,False,1
2021-07-22,bicycle,plaza_car_far,leftright_topbottom,10,3,True,0
2021-07-23,bicycle,plaza_car_far,leftright_topbottom,8,4,True,0
2021-07-24,bicycle,plaza_car_far,leftright_topbottom,12,5,True,0
2021-07-25,bicycle,plaza_car_far,leftright_topbottom,10,6,True,0
2021-07-26,bicycle,plaza_car_far,leftright_topbottom,14,0,False,1
2021-07-27,bicycle,plaza_car_far,leftright_topbottom,13,1,False,0
2021-07-28,bicycle,plaza_car_far,leftright_topbottom,8,2,False,0
2021-07-29,bicycle,plaza_car_far,leftright_topbottom,57,3,False,0
2021-07-30,bicycle,plaza_car_far,leftright_topbottom,9,4,False,1
2021-07-31,bicycle,plaza_car_far,leftright_topbottom,6,5,True,0
2021-08-01,bicycle,plaza_car_far,leftright_topbottom,7,6,True,0
2021-08-02,bicycle,plaza_car_far,leftright_topbottom,11,0,False,1
2021-08-03,bicycle,plaza_car_far,leftright_topbottom,10,1,False,0
2021-08-04,bicycle,plaza_car_far,leftright_topbottom,9,2,False,0
2021-08-05,bicycle,plaza_car_far,leftright_topbottom,2,3,False,0
2021-08-06,bicycle,plaza_car_far,leftright_topbottom,4,4,False,1
2021-08-07,bicycle,plaza_car_far,leftright_topbottom,106,5,True,0
2021-08-08,bicycle,plaza_car_far,leftright_topbottom,11,6,True,0
2021-08-09,bicycle,plaza_car_far,leftright_topbottom,45,0,True,0
2021-08-10,bicycle,plaza_car_far,leftright_topbottom,10,1,False,1
2021-08-11,bicycle,plaza_car_far,leftright_topbottom,8,2,False,0
2021-08-12,bicycle,plaza_car_far,leftright_topbottom,11,3,False,0
2021-08-13,bicycle,plaza_car_far,leftright_topbottom,39,4,False,1
2021-08-14,bicycle,plaza_car_far,leftright_topbottom,8,5,True,0
2021-08-15,bicycle,plaza_car_far,leftright_topbottom,4,6,True,0
2021-08-16,bicycle,plaza_car_far,leftright_topbottom,6,0,False,1
2021-08-17,bicycle,plaza_car_far,leftright_topbottom,4,1,False,0
2021-08-18,bicycle,plaza_car_far,leftright_topbottom,5,2,False,0
2021-08-19,bicycle,plaza_car_far,leftright_topbottom,48,3,False,0
2021-08-20,bicycle,plaza_car_far,leftright_topbottom,7,4,False,1
2021-08-21,bicycle,plaza_car_far,leftright_topbottom,16,5,True,0
2021-08-22,bicycle,plaza_car_far,leftright_topbottom,4,6,True,0
2021-08-23,bicycle,plaza_car_far,leftright_topbottom,45,0,False,1
2021-08-24,bicycle,plaza_car_far,leftright_topbottom,14,1,False,0
2021-08-25,bicycle,plaza_car_far,leftright_topbottom,5,2,False,1
2021-08-28,bicycle,plaza_car_far,leftright_topbottom,3,5,True,0
2021-08-29,bicycle,plaza_car_far,leftright_topbottom,1,6,True,0
2021-08-31,bicycle,plaza_car_far,leftright_topbottom,1,1,False,1
2021-06-26,bicycle,plaza_car_near,leftright_topbottom,5,5,True,0
2021-06-27,bicycle,plaza_car_near,leftright_topbottom,51,6,True,0
2021-06-28,bicycle,plaza_car_near,leftright_topbottom,11,0,False,1
2021-06-29,bicycle,plaza_car_near,leftright_topbottom,23,1,False,0
2021-06-30,bicycle,plaza_car_near,leftright_topbottom,16,2,False,0
2021-07-01,bicycle,plaza_car_near,leftright_topbottom,21,3,False,0
2021-07-02,bicycle,plaza_car_near,leftright_topbottom,45,4,False,1
2021-07-03,bicycle,plaza_car_near,leftright_topbottom,14,5,True,0
2021-07-04,bicycle,plaza_car_near,leftright_topbottom,6,6,True,0
2021-07-05,bicycle,plaza_car_near,leftright_topbottom,8,0,False,1
2021-07-06,bicycle,plaza_car_near,leftright_topbottom,11,1,False,0
2021-07-07,bicycle,plaza_car_near,leftright_topbottom,20,2,False,0
2021-07-08,bicycle,plaza_car_near,leftright_topbottom,33,3,False,0
2021-07-09,bicycle,plaza_car_near,leftright_topbottom,14,4,False,1
2021-07-10,bicycle,plaza_car_near,leftright_topbottom,30,5,True,0
2021-07-11,bicycle,plaza_car_near,leftright_topbottom,4,6,True,0
2021-07-12,bicycle,plaza_car_near,leftright_topbottom,19,0,False,1
2021-07-13,bicycle,plaza_car_near,leftright_topbottom,7,1,False,0
2021-07-14,bicycle,plaza_car_near,leftright_topbottom,13,2,False,0
2021-07-15,bicycle,plaza_car_near,leftright_topbottom,15,3,False,0
2021-07-16,bicycle,plaza_car_near,leftright_topbottom,19,4,False,1
2021-07-17,bicycle,plaza_car_near,leftright_topbottom,16,5,True,0
2021-07-18,bicycle,plaza_car_near,leftright_topbottom,8,6,True,0
2021-07-19,bicycle,plaza_car_near,leftright_topbottom,13,0,False,1
2021-07-20,bicycle,plaza_car_near,leftright_topbottom,13,1,False,0
2021-07-21,bicycle,plaza_car_near,leftright_topbottom,7,2,False,1
2021-07-22,bicycle,plaza_car_near,leftright_topbottom,21,3,True,0
