,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
0,0,person,juroku_zoom,leftright_topbottom,2021-06-27,34,2021-06-27 14:00:00,日曜,14,True,2021-06-27,True,0
1,1,person,juroku_zoom,rightleft_bottomtop,2021-06-27,56,2021-06-27 14:00:00,日曜,14,True,2021-06-27,True,0
2,2,bus,juroku_zoom,leftright_topbottom,2021-06-27,1,2021-06-27 15:00:00,日曜,15,True,2021-06-27,True,0
3,3,person,juroku_zoom,leftright_topbottom,2021-06-27,129,2021-06-27 15:00:00,日曜,15,True,2021-06-27,True,0
4,4,person,juroku_zoom,rightleft_bottomtop,2021-06-27,105,2021-06-27 15:00:00,日曜,15,True,2021-06-27,True,0
5,5,bicycle,juroku_zoom,leftright_topbottom,2021-06-27,1,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
6,6,car,juroku_zoom,rightleft_bottomtop,2021-06-27,2,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
7,7,motorbike,juroku_zoom,rightleft_bottomtop,2021-06-27,1,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
8,8,person,juroku_zoom,leftright_topbottom,2021-06-27,93,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
9,9,person,juroku_zoom,rightleft_bottomtop,2021-06-27,63,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
10,10,truck,juroku_zoom,rightleft_bottomtop,2021-06-27,3,2021-06-27 16:00:00,日曜,16,True,2021-06-27,True,0
11,11,bicycle,juroku_zoom,rightleft_bottomtop,2021-06-27,1,2021-06-27 17:00:00,日曜,17,True,2021-06-27,True,0
12,12,car,juroku_zoom,rightleft_bottomtop,2021-06-27,6,2021-06-27 17:00:00,日曜,17,True,2021-06-27,True,0
13,13,person,juroku_zoom,leftright_topbottom,2021-06-27,40,2021-06-27 17:00:00,日曜,17,True,2021-06-27,True,0
14,14,person,juroku_zoom,rightleft_bottomtop,2021-06-27,26,2021-06-27 17:00:00,日曜,17,True,2021-06-27,True,0
15,15,truck,juroku_zoom,rightleft_bottomtop,2021-06-27,2,2021-06-27 17:00:00,日曜,17,True,2021-06-27,True,0
16,16,bicycle,juroku_zoom,leftright_topbottom,2021-06-27,2,2021-06-27 18:00:00,日曜,18,True,2021-06-27,True,0
17,17,car,juroku_zoom,rightleft_bottomtop,2021-06-27,4,2021-06-27 18:00:00,日曜,18,True,2021-06-27,True,0
18,18,person,juroku_zoom,leftright_topbottom,2021-06-27,10,2021-06-27 18:00:00,日曜,18,True,2021-06-27,True,0
