,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
0,0,bus,plaza_car_far,leftright_topbottom,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
1,1,bus,plaza_car_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
2,2,bus,plaza_right_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
3,3,car,plaza_car_far,leftright_topbottom,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
4,4,car,plaza_car_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
5,5,car,plaza_right_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
6,6,person,plaza_left_far,leftright_topbottom,2021-11-15,1,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
7,7,person,plaza_left_far,rightleft_bottomtop,2021-11-15,2,2021-11-15 04:00:00,月曜,4,False,2021-11-15,False,1
8,8,car,plaza_car_far,leftright_topbottom,2021-11-15,3,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
9,9,car,plaza_car_far,rightleft_bottomtop,2021-11-15,3,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
10,10,car,plaza_right_far,leftright_topbottom,2021-11-15,1,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
11,11,car,plaza_right_far,rightleft_bottomtop,2021-11-15,3,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
12,12,person,plaza_car_far,leftright_topbottom,2021-11-15,2,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
13,13,person,plaza_car_far,rightleft_bottomtop,2021-11-15,6,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
14,14,person,plaza_left_far,leftright_topbottom,2021-11-15,2,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
15,15,person,plaza_left_far,rightleft_bottomtop,2021-11-15,4,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
16,16,person,plaza_right_far,leftright_topbottom,2021-11-15,5,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
17,17,person,plaza_right_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 05:00:00,月曜,5,False,2021-11-15,False,1
18,18,bus,plaza_car_far,leftright_topbottom,2021-11-15,1,2021-11-15 06:00:00,月曜,6,False,2021-11-15,False,1
19,19,bus,plaza_right_far,rightleft_bottomtop,2021-11-15,1,2021-11-15 06:00:00,月曜,6,False,2021-11-15,False,1
20,20,car,plaza_car_far,leftright_topbottom,2021-11-15,6,2021-11-15 06:00:00,月曜,6,False,2021-11-15,False,1
21,21,car,plaza_car_far,rightleft_bottomtop,2021-11-15,9,2021-11-15 06:00:00,月曜,6,False,2021-11-15,False,1
22,22,car,plaza_right_far,rightleft_bottomtop,2021-11-15,6,2021-11-15 06:00:00,月曜,6,False,2021-11-15,False,1
