week,area,countingDirection,name,timestamp,is_holiday,is_edge_holiday
月曜,juroku_zoom,leftright_topbottom,bicycle,15.555555555555555,0.1111111111111111,0.8888888888888888
火曜,juroku_zoom,leftright_topbottom,bicycle,16.9,0.0,0.1
水曜,juroku_zoom,leftright_topbottom,bicycle,14.9,0.0,0.1
木曜,juroku_zoom,leftright_topbottom,bicycle,15.2,0.1,0.2
金曜,juroku_zoom,leftright_topbottom,bicycle,16.75,0.125,0.875
土曜,juroku_zoom,leftright_topbottom,bicycle,17.22222222222222,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,bicycle,13.444444444444445,1.0,0.0
月曜,juroku_zoom,leftright_topbottom,bus,1.8888888888888888,0.1111111111111111,0.8888888888888888
火曜,juroku_zoom,leftright_topbottom,bus,2.5555555555555554,0.0,0.1111111111111111
水曜,juroku_zoom,leftright_topbottom,bus,2.625,0.0,0.25
木曜,juroku_zoom,leftright_topbottom,bus,2.4444444444444446,0.1111111111111111,0.0
金曜,juroku_zoom,leftright_topbottom,bus,2.111111111111111,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,leftright_topbottom,bus,2.375,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,bus,3.5555555555555554,1.0,0.0
月曜,juroku_zoom,leftright_topbottom,car,3.5,0.0,1.0
火曜,juroku_zoom,leftright_topbottom,car,3.111111111111111,0.0,0.1111111111111111
水曜,juroku_zoom,leftright_topbottom,car,4.1,0.0,0.2
木曜,juroku_zoom,leftright_topbottom,car,4.555555555555555,0.1111111111111111,0.0
金曜,juroku_zoom,leftright_topbottom,car,6.333333333333333,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,leftright_topbottom,car,4.111111111111111,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,car,4.333333333333333,1.0,0.0
月曜,juroku_zoom,leftright_topbottom,motorbike,2.2857142857142856,0.0,1.0
火曜,juroku_zoom,leftright_topbottom,motorbike,3.0,0.0,0.14285714285714285
水曜,juroku_zoom,leftright_topbottom,motorbike,2.857142857142857,0.0,0.2857142857142857
木曜,juroku_zoom,leftright_topbottom,motorbike,2.125,0.125,0.5
金曜,juroku_zoom,leftright_topbottom,motorbike,2.0,0.25,0.75
土曜,juroku_zoom,leftright_topbottom,motorbike,1.6,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,motorbike,2.5,1.0,0.0
月曜,juroku_zoom,leftright_topbottom,person,1451.3333333333333,0.1111111111111111,0.8888888888888888
火曜,juroku_zoom,leftright_topbottom,person,1141.8,0.0,0.1
水曜,juroku_zoom,leftright_topbottom,person,1121.1,0.0,0.1
木曜,juroku_zoom,leftright_topbottom,person,1605.2,0.1,0.1
金曜,juroku_zoom,leftright_topbottom,person,1990.2222222222222,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,leftright_topbottom,person,2234.3333333333335,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,person,2483.0,1.0,0.0
月曜,juroku_zoom,leftright_topbottom,truck,1.0,0.0,0.8
火曜,juroku_zoom,leftright_topbottom,truck,1.4,0.0,0.6
水曜,juroku_zoom,leftright_topbottom,truck,1.5,0.0,0.25
木曜,juroku_zoom,leftright_topbottom,truck,1.8,0.2,0.6
金曜,juroku_zoom,leftright_topbottom,truck,2.2,0.2,0.4
土曜,juroku_zoom,leftright_topbottom,truck,1.0,1.0,0.0
日曜,juroku_zoom,leftright_topbottom,truck,1.2,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,bicycle,23.0,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,bicycle,21.4,0.0,0.1
水曜,juroku_zoom,rightleft_bottomtop,bicycle,23.0,0.0,0.1
木曜,juroku_zoom,rightleft_bottomtop,bicycle,19.0,0.1,0.0
金曜,juroku_zoom,rightleft_bottomtop,bicycle,23.333333333333332,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,rightleft_bottomtop,bicycle,24.333333333333332,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,bicycle,19.5,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,bus,5.4,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,bus,5.9,0.0,0.1
水曜,juroku_zoom,rightleft_bottomtop,bus,5.8,0.0,0.1
木曜,juroku_zoom,rightleft_bottomtop,bus,5.2,0.1,0.0
金曜,juroku_zoom,rightleft_bottomtop,bus,5.888888888888889,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,rightleft_bottomtop,bus,4.333333333333333,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,bus,4.0,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,car,53.9,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,car,53.3,0.0,0.1
水曜,juroku_zoom,rightleft_bottomtop,car,52.0,0.0,0.1
木曜,juroku_zoom,rightleft_bottomtop,car,57.4,0.1,0.0
金曜,juroku_zoom,rightleft_bottomtop,car,63.22222222222222,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,rightleft_bottomtop,car,48.55555555555556,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,car,38.6,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,motorbike,4.5,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,motorbike,3.3333333333333335,0.0,0.1111111111111111
水曜,juroku_zoom,rightleft_bottomtop,motorbike,3.142857142857143,0.0,0.0
木曜,juroku_zoom,rightleft_bottomtop,motorbike,5.1,0.1,0.3
金曜,juroku_zoom,rightleft_bottomtop,motorbike,6.333333333333333,0.16666666666666666,0.8333333333333334
土曜,juroku_zoom,rightleft_bottomtop,motorbike,3.4444444444444446,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,motorbike,2.5555555555555554,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,person,1339.0,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,person,1112.9,0.0,0.1
水曜,juroku_zoom,rightleft_bottomtop,person,1086.9,0.0,0.1
木曜,juroku_zoom,rightleft_bottomtop,person,1441.7,0.1,0.0
金曜,juroku_zoom,rightleft_bottomtop,person,1678.0,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,rightleft_bottomtop,person,1996.6666666666667,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,person,1980.1,1.0,0.0
月曜,juroku_zoom,rightleft_bottomtop,truck,24.1,0.1,0.9
火曜,juroku_zoom,rightleft_bottomtop,truck,23.9,0.0,0.1
水曜,juroku_zoom,rightleft_bottomtop,truck,18.2,0.0,0.1
木曜,juroku_zoom,rightleft_bottomtop,truck,22.4,0.1,0.0
金曜,juroku_zoom,rightleft_bottomtop,truck,24.22222222222222,0.1111111111111111,0.8888888888888888
土曜,juroku_zoom,rightleft_bottomtop,truck,14.777777777777779,1.0,0.0
日曜,juroku_zoom,rightleft_bottomtop,truck,8.1,1.0,0.0
