idx,name,area,countingDirection,timestamp,day,count,date_jst,week,time,is_holiday
0,person,juroku_zoom,leftright_topbottom,34,34,34,2021-06-27 14:00:00,6,14,True
1,person,juroku_zoom,rightleft_bottomtop,56,56,56,2021-06-27 14:00:00,6,14,True
2,bus,juroku_zoom,leftright_topbottom,1,1,1,2021-06-27 15:00:00,6,15,True
3,person,juroku_zoom,leftright_topbottom,129,129,129,2021-06-27 15:00:00,6,15,True
4,person,juroku_zoom,rightleft_bottomtop,105,105,105,2021-06-27 15:00:00,6,15,True
5,bicycle,juroku_zoom,leftright_topbottom,1,1,1,2021-06-27 16:00:00,6,16,True
6,car,juroku_zoom,rightleft_bottomtop,2,2,2,2021-06-27 16:00:00,6,16,True
7,motorbike,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-27 16:00:00,6,16,True
8,person,juroku_zoom,leftright_topbottom,93,93,93,2021-06-27 16:00:00,6,16,True
9,person,juroku_zoom,rightleft_bottomtop,63,63,63,2021-06-27 16:00:00,6,16,True
10,truck,juroku_zoom,rightleft_bottomtop,3,3,3,2021-06-27 16:00:00,6,16,True
11,bicycle,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-27 17:00:00,6,17,True
12,car,juroku_zoom,rightleft_bottomtop,6,6,6,2021-06-27 17:00:00,6,17,True
13,person,juroku_zoom,leftright_topbottom,40,40,40,2021-06-27 17:00:00,6,17,True
14,person,juroku_zoom,rightleft_bottomtop,26,26,26,2021-06-27 17:00:00,6,17,True
15,truck,juroku_zoom,rightleft_bottomtop,2,2,2,2021-06-27 17:00:00,6,17,True
16,bicycle,juroku_zoom,leftright_topbottom,2,2,2,2021-06-27 18:00:00,6,18,True
17,car,juroku_zoom,rightleft_bottomtop,4,4,4,2021-06-27 18:00:00,6,18,True
18,person,juroku_zoom,leftright_topbottom,10,10,10,2021-06-27 18:00:00,6,18,True
19,person,juroku_zoom,rightleft_bottomtop,16,16,16,2021-06-27 18:00:00,6,18,True
20,truck,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-27 18:00:00,6,18,True
21,bicycle,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-27 19:00:00,6,19,True
22,car,juroku_zoom,rightleft_bottomtop,2,2,2,2021-06-27 19:00:00,6,19,True
23,person,juroku_zoom,leftright_topbottom,6,6,6,2021-06-27 19:00:00,6,19,True
24,person,juroku_zoom,rightleft_bottomtop,6,6,6,2021-06-27 19:00:00,6,19,True
25,bus,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-27 22:00:00,6,22,True
26,bus,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-28 03:00:00,0,03,False
27,car,juroku_zoom,leftright_topbottom,1,1,1,2021-06-28 03:00:00,0,03,False
28,car,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-28 04:00:00,0,04,False
29,person,juroku_zoom,leftright_topbottom,1,1,1,2021-06-28 04:00:00,0,04,False
30,person,juroku_zoom,rightleft_bottomtop,1,1,1,2021-06-28 04:00:00,0,04,False
31,person,juroku_zoom,leftright_topbottom,2,2,2,2021-06-28 05:00:00,0,05,False
32,person,juroku_zoom,rightleft_bottomtop,3,3,3,2021-06-28 05:00:00,0,05,False
33,car,juroku_zoom,rightleft_bottomtop,2,2,2,2021-06-28 06:00:00,0,06,False
34,person,juroku_zoom,leftright_topbottom,10,10,10,2021-06-28 06:00:00,0,06,False
35,person,juroku_zoom,rightleft_bottomtop,6,6,6,2021-06-28 06:00:00,0,06,False
36,truck,juroku_zoom,rightleft_bottomtop,2,2,2,2021-06-28 06:00:00,0,06,False
