売り上げ,日付,来店人数
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,1
4,2021-11-15,2
5,2021-11-15,3
5,2021-11-15,3
5,2021-11-15,1
5,2021-11-15,3
5,2021-11-15,2
5,2021-11-15,6
5,2021-11-15,2
5,2021-11-15,4
5,2021-11-15,5
5,2021-11-15,1
6,2021-11-15,1
6,2021-11-15,1
6,2021-11-15,6
6,2021-11-15,9
6,2021-11-15,6
6,2021-11-15,1
6,2021-11-15,8
6,2021-11-15,8
6,2021-11-15,14
6,2021-11-15,6
6,2021-11-15,10
6,2021-11-15,2
6,2021-11-15,3
6,2021-11-15,4
6,2021-11-15,3
7,2021-11-15,3
7,2021-11-15,2
7,2021-11-15,10
7,2021-11-15,21
7,2021-11-15,10
7,2021-11-15,1
7,2021-11-15,10
7,2021-11-15,8
7,2021-11-15,12
7,2021-11-15,15
7,2021-11-15,5
7,2021-11-15,12
7,2021-11-15,5
7,2021-11-15,5
7,2021-11-15,5
8,2021-11-15,4
8,2021-11-15,1
8,2021-11-15,25
8,2021-11-15,45
8,2021-11-15,27
8,2021-11-15,1
8,2021-11-15,1
8,2021-11-15,40
8,2021-11-15,33
8,2021-11-15,20
8,2021-11-15,15
8,2021-11-15,36
8,2021-11-15,29
8,2021-11-15,11
8,2021-11-15,18
8,2021-11-15,3
8,2021-11-15,11
9,2021-11-15,5
9,2021-11-15,1
9,2021-11-15,4
9,2021-11-15,1
9,2021-11-15,3
9,2021-11-15,6
9,2021-11-15,4
9,2021-11-15,29
9,2021-11-15,78
9,2021-11-15,2
9,2021-11-15,19
9,2021-11-15,26
9,2021-11-15,2
9,2021-11-15,4
9,2021-11-15,59
9,2021-11-15,94
9,2021-11-15,25
9,2021-11-15,52
9,2021-11-15,70
9,2021-11-15,56
9,2021-11-15,8
9,2021-11-15,20
9,2021-11-15,2
9,2021-11-15,1
9,2021-11-15,7
9,2021-11-15,8
10,2021-11-15,6
10,2021-11-15,3
10,2021-11-15,2
10,2021-11-15,8
10,2021-11-15,45
10,2021-11-15,109
10,2021-11-15,3
10,2021-11-15,11
10,2021-11-15,49
10,2021-11-15,2
10,2021-11-15,9
10,2021-11-15,1
10,2021-11-15,104
10,2021-11-15,133
10,2021-11-15,46
10,2021-11-15,57
10,2021-11-15,113
10,2021-11-15,81
10,2021-11-15,12
10,2021-11-15,20
10,2021-11-15,6
10,2021-11-15,14
11,2021-11-15,8
11,2021-11-15,1
11,2021-11-15,2
11,2021-11-15,3
11,2021-11-15,4
11,2021-11-15,4
11,2021-11-15,49
11,2021-11-15,104
11,2021-11-15,1
11,2021-11-15,2
11,2021-11-15,16
11,2021-11-15,52
11,2021-11-15,1
11,2021-11-15,4
11,2021-11-15,4
11,2021-11-15,1
11,2021-11-15,1
11,2021-11-15,143
11,2021-11-15,242
11,2021-11-15,92
11,2021-11-15,151
11,2021-11-15,98
11,2021-11-15,72
11,2021-11-15,13
11,2021-11-15,17
11,2021-11-15,2
11,2021-11-15,2
11,2021-11-15,11
12,2021-11-15,1
12,2021-11-15,6
12,2021-11-15,2
12,2021-11-15,1
12,2021-11-15,5
12,2021-11-15,2
12,2021-11-15,41
12,2021-11-15,113
12,2021-11-15,1
12,2021-11-15,2
12,2021-11-15,34
12,2021-11-15,4
12,2021-11-15,3
12,2021-11-15,9
12,2021-11-15,1
12,2021-11-15,2
12,2021-11-15,202
12,2021-11-15,308
12,2021-11-15,82
12,2021-11-15,98
12,2021-11-15,74
12,2021-11-15,86
12,2021-11-15,5
12,2021-11-15,3
12,2021-11-15,1
12,2021-11-15,5
13,2021-11-15,3
13,2021-11-15,1
13,2021-11-15,4
13,2021-11-15,27
13,2021-11-15,81
13,2021-11-15,2
13,2021-11-15,2
13,2021-11-15,8
13,2021-11-15,30
13,2021-11-15,7
13,2021-11-15,3
13,2021-11-15,12
13,2021-11-15,1
13,2021-11-15,4
13,2021-11-15,251
13,2021-11-15,390
13,2021-11-15,59
13,2021-11-15,131
13,2021-11-15,91
13,2021-11-15,123
13,2021-11-15,6
13,2021-11-15,13
13,2021-11-15,1
13,2021-11-15,4
14,2021-11-15,4
14,2021-11-15,2
14,2021-11-15,4
14,2021-11-15,32
14,2021-11-15,95
14,2021-11-15,12
14,2021-11-15,35
14,2021-11-15,5
14,2021-11-15,5
14,2021-11-15,6
14,2021-11-15,94
14,2021-11-15,344
14,2021-11-15,52
14,2021-11-15,93
14,2021-11-15,86
14,2021-11-15,70
14,2021-11-15,5
14,2021-11-15,10
14,2021-11-15,3
14,2021-11-15,5
15,2021-11-15,8
15,2021-11-15,1
15,2021-11-15,2
15,2021-11-15,3
15,2021-11-15,1
15,2021-11-15,1
15,2021-11-15,51
15,2021-11-15,90
15,2021-11-15,1
15,2021-11-15,19
15,2021-11-15,48
15,2021-11-15,1
15,2021-11-15,2
15,2021-11-15,7
15,2021-11-15,54
15,2021-11-15,100
15,2021-11-15,58
15,2021-11-15,85
15,2021-11-15,54
15,2021-11-15,48
15,2021-11-15,6
15,2021-11-15,12
15,2021-11-15,1
15,2021-11-15,6
15,2021-11-15,8
16,2021-11-15,7
16,2021-11-15,6
16,2021-11-15,2
16,2021-11-15,1
16,2021-11-15,2
16,2021-11-15,38
16,2021-11-15,96
16,2021-11-15,1
16,2021-11-15,13
16,2021-11-15,36
16,2021-11-15,1
16,2021-11-15,1
16,2021-11-15,33
16,2021-11-15,83
16,2021-11-15,42
16,2021-11-15,72
16,2021-11-15,81
16,2021-11-15,36
16,2021-11-15,8
16,2021-11-15,8
16,2021-11-15,3
16,2021-11-15,8
17,2021-11-15,1
17,2021-11-15,4
17,2021-11-15,2
17,2021-11-15,1
17,2021-11-15,3
17,2021-11-15,38
17,2021-11-15,93
17,2021-11-15,1
17,2021-11-15,3
17,2021-11-15,6
17,2021-11-15,38
17,2021-11-15,1
17,2021-11-15,42
17,2021-11-15,45
17,2021-11-15,33
17,2021-11-15,47
17,2021-11-15,37
17,2021-11-15,36
17,2021-11-15,8
17,2021-11-15,5
17,2021-11-15,1
17,2021-11-15,8
18,2021-11-15,1
18,2021-11-15,3
18,2021-11-15,1
18,2021-11-15,2
18,2021-11-15,1
18,2021-11-15,33
18,2021-11-15,48
18,2021-11-15,1
18,2021-11-15,5
18,2021-11-15,30
18,2021-11-15,1
18,2021-11-15,16
18,2021-11-15,20
18,2021-11-15,21
18,2021-11-15,21
18,2021-11-15,14
18,2021-11-15,15
18,2021-11-15,2
18,2021-11-15,1
18,2021-11-15,1
18,2021-11-15,2
19,2021-11-15,1
19,2021-11-15,1
19,2021-11-15,18
19,2021-11-15,24
19,2021-11-15,18
19,2021-11-15,11
19,2021-11-15,10
19,2021-11-15,8
19,2021-11-15,17
19,2021-11-15,12
19,2021-11-15,8
19,2021-11-15,1
20,2021-11-15,5
20,2021-11-15,1
20,2021-11-15,12
20,2021-11-15,27
20,2021-11-15,1
20,2021-11-15,9
20,2021-11-15,13
20,2021-11-15,6
20,2021-11-15,12
20,2021-11-15,14
20,2021-11-15,8
20,2021-11-15,8
21,2021-11-15,13
21,2021-11-15,16
21,2021-11-15,1
21,2021-11-15,12
21,2021-11-15,3
21,2021-11-15,2
21,2021-11-15,16
21,2021-11-15,11
21,2021-11-15,3
21,2021-11-15,3
22,2021-11-15,3
22,2021-11-15,3
22,2021-11-15,1
22,2021-11-15,1
22,2021-11-15,1
22,2021-11-15,1
22,2021-11-15,1
22,2021-11-15,1
23,2021-11-15,2
23,2021-11-15,5
23,2021-11-15,2
23,2021-11-15,3
23,2021-11-15,1
23,2021-11-15,2
23,2021-11-15,2
0,2021-11-16,1
0,2021-11-16,4
0,2021-11-16,8
0,2021-11-16,1
0,2021-11-16,1
0,2021-11-16,2
0,2021-11-16,1
0,2021-11-16,1
0,2021-11-16,2
0,2021-11-16,2
0,2021-11-16,1
11,2021-11-16,1
11,2021-11-16,5
11,2021-11-16,1
11,2021-11-16,14
11,2021-11-16,35
11,2021-11-16,14
11,2021-11-16,1
11,2021-11-16,2
11,2021-11-16,1
11,2021-11-16,38
11,2021-11-16,35
11,2021-11-16,16
11,2021-11-16,39
11,2021-11-16,30
11,2021-11-16,36
11,2021-11-16,3
11,2021-11-16,2
11,2021-11-16,1
11,2021-11-16,2
12,2021-11-16,6
12,2021-11-16,1
12,2021-11-16,1
12,2021-11-16,1
12,2021-11-16,27
12,2021-11-16,75
12,2021-11-16,1
12,2021-11-16,1
12,2021-11-16,3
12,2021-11-16,26
12,2021-11-16,1
12,2021-11-16,4
12,2021-11-16,6
12,2021-11-16,3
12,2021-11-16,1
12,2021-11-16,80
12,2021-11-16,78
12,2021-11-16,52
12,2021-11-16,98
12,2021-11-16,69
12,2021-11-16,84
12,2021-11-16,3
12,2021-11-16,4
12,2021-11-16,3
13,2021-11-16,6
13,2021-11-16,1
13,2021-11-16,2
13,2021-11-16,1
13,2021-11-16,4
13,2021-11-16,1
13,2021-11-16,18
13,2021-11-16,95
13,2021-11-16,2
13,2021-11-16,19
13,2021-11-16,21
13,2021-11-16,2
13,2021-11-16,6
13,2021-11-16,3
13,2021-11-16,1
13,2021-11-16,2
13,2021-11-16,84
13,2021-11-16,75
13,2021-11-16,165
13,2021-11-16,80
13,2021-11-16,76
13,2021-11-16,76
13,2021-11-16,6
13,2021-11-16,8
13,2021-11-16,3
13,2021-11-16,5
14,2021-11-16,1
14,2021-11-16,13
14,2021-11-16,2
14,2021-11-16,3
14,2021-11-16,3
14,2021-11-16,5
14,2021-11-16,35
14,2021-11-16,87
14,2021-11-16,1
14,2021-11-16,27
14,2021-11-16,56
14,2021-11-16,64
14,2021-11-16,28
14,2021-11-16,75
14,2021-11-16,48
14,2021-11-16,51
14,2021-11-16,5
14,2021-11-16,4
14,2021-11-16,5
15,2021-11-16,2
15,2021-11-16,2
15,2021-11-16,2
15,2021-11-16,1
15,2021-11-16,1
15,2021-11-16,1
15,2021-11-16,4
15,2021-11-16,1
15,2021-11-16,1
15,2021-11-16,27
15,2021-11-16,111
15,2021-11-16,62
15,2021-11-16,38
15,2021-11-16,2
15,2021-11-16,47
15,2021-11-16,47
15,2021-11-16,28
15,2021-11-16,53
15,2021-11-16,53
15,2021-11-16,41
15,2021-11-16,5
15,2021-11-16,10
15,2021-11-16,3
15,2021-11-16,5
16,2021-11-16,6
16,2021-11-16,2
16,2021-11-16,2
16,2021-11-16,1
16,2021-11-16,40
16,2021-11-16,79
16,2021-11-16,2
16,2021-11-16,6
16,2021-11-16,41
16,2021-11-16,2
16,2021-11-16,31
16,2021-11-16,58
16,2021-11-16,40
16,2021-11-16,51
16,2021-11-16,49
16,2021-11-16,32
16,2021-11-16,8
16,2021-11-16,6
16,2021-11-16,6
17,2021-11-16,2
17,2021-11-16,8
17,2021-11-16,1
17,2021-11-16,2
17,2021-11-16,3
17,2021-11-16,3
17,2021-11-16,52
17,2021-11-16,81
17,2021-11-16,1
17,2021-11-16,23
17,2021-11-16,51
17,2021-11-16,1
17,2021-11-16,17
17,2021-11-16,26
17,2021-11-16,26
17,2021-11-16,38
17,2021-11-16,23
17,2021-11-16,20
17,2021-11-16,2
17,2021-11-16,8
17,2021-11-16,2
17,2021-11-16,3
18,2021-11-16,4
18,2021-11-16,1
18,2021-11-16,39
18,2021-11-16,70
18,2021-11-16,8
18,2021-11-16,38
18,2021-11-16,1
18,2021-11-16,1
18,2021-11-16,18
18,2021-11-16,27
18,2021-11-16,15
18,2021-11-16,30
18,2021-11-16,26
18,2021-11-16,17
18,2021-11-16,2
18,2021-11-16,1
18,2021-11-16,1
19,2021-11-16,2
19,2021-11-16,16
19,2021-11-16,36
19,2021-11-16,2
19,2021-11-16,15
19,2021-11-16,6
19,2021-11-16,9
19,2021-11-16,15
19,2021-11-16,21
19,2021-11-16,9
19,2021-11-16,6
20,2021-11-16,1
20,2021-11-16,1
20,2021-11-16,10
20,2021-11-16,22
20,2021-11-16,1
20,2021-11-16,9
20,2021-11-16,11
20,2021-11-16,6
20,2021-11-16,7
20,2021-11-16,9
20,2021-11-16,4
20,2021-11-16,8
20,2021-11-16,1
20,2021-11-16,1
21,2021-11-16,13
21,2021-11-16,13
21,2021-11-16,1
21,2021-11-16,12
21,2021-11-16,3
21,2021-11-16,5
21,2021-11-16,1
21,2021-11-16,6
21,2021-11-16,2
21,2021-11-16,3
22,2021-11-16,1
22,2021-11-16,7
22,2021-11-16,15
22,2021-11-16,5
22,2021-11-16,3
22,2021-11-16,2
22,2021-11-16,9
22,2021-11-16,1
22,2021-11-16,2
22,2021-11-16,2
23,2021-11-16,1
23,2021-11-16,3
23,2021-11-16,7
23,2021-11-16,3
23,2021-11-16,1
23,2021-11-16,2
23,2021-11-16,1
23,2021-11-16,1
0,2021-11-17,4
0,2021-11-17,14
